"rhoI","rI","hospital","community","cases.averted","baseline.cases","intervention.cases","prop.cases.averted","mult1.noint.cases","mult1.int.cases","treatment","rel.value"
1.10526315789474,1.84210526315789,0.0301645124799829,0.0141304350290028,79.1210579910103,8223.03542930782,8143.91437131681,0.00962187973908198,8223.9132140646,7626.19013466195,"transmission reduction",6.30592227779556
1.10526315789474,1.94736842105263,0.0312329477988217,0.0143925831398925,55.630843322333,8222.97932247655,8167.34847915422,0.00676529043071684,8223.9132140646,7626.19013466195,"transmission reduction",6.59158120863208
1.10526315789474,2.05263157894737,0.0321999550303523,0.014616618935141,35.3251742526581,8222.91377637131,8187.58860211865,0.00429594365371624,8223.9132140646,7626.19013466195,"transmission reduction",6.83851588633214
1.10526315789474,2.15789473684211,0.0330790460983948,0.0148093656326648,17.6662865995659,8222.86502837136,8205.1987417718,0.00214843446154252,8223.9132140646,7626.19013466195,"transmission reduction",7.05326680554951
1.10526315789474,2.26315789473684,0.0338813780864292,0.0149760896857441,2.22734605329606,8222.81279435372,8220.58544830042,0.000270873983027498,8223.9132140646,7626.19013466195,"transmission reduction",7.24102285340101
1.10526315789474,2.36842105263158,0.0341883349558846,0.01456804292423,1.03458860394312e-05,7991.52253687351,7991.52252652762,1.29460762848312e-09,8223.9132140646,7626.19013466195,"transmission reduction",7.268110122243
1.21052631578947,1,0.0168759102915988,0.00947353821344651,464.394723016468,8223.77410352234,7759.37938050587,0.0564697810482856,8223.9132140646,7626.19013466195,"transmission reduction",1.6211321468752
1.21052631578947,1.10526315789474,0.0198494035500142,0.0107112499667729,366.302750919639,8223.62401414158,7857.32126322194,0.044542740559361,8223.9132140646,7626.19013466195,"transmission reduction",2.81383619576767
1.21052631578947,1.21052631578947,0.0223703272032145,0.011667432073736,288.517684973554,8223.49716164824,7934.97947667469,0.035084548495877,8223.9132140646,7626.19013466195,"transmission reduction",3.75965540211607
1.21052631578947,1.31578947368421,0.0245333977559257,0.0124209675334433,225.872274582169,8223.38227077914,7997.50999619698,0.027467077066912,8223.9132140646,7626.19013466195,"transmission reduction",4.52140254501256
1.21052631578947,1.42105263157895,0.0264085645197611,0.0130247264532333,174.739275511158,8223.27829266826,8048.5390171571,0.0212493447615597,8223.9132140646,7626.19013466195,"transmission reduction",5.14317577554779
