"beta.int","R0","hospital","community","cases.averted","baseline.cases","prop.cases.averted","assumption"
0.708333333333333,0.999412028187828,3.85822363870043e-07,3.23818766997872e-07,1114.67198373872,8223.93663143504,0.13553995290747,"heterogen"
0.75,0.997991797365639,9.63741975996114e-08,8.32597409419281e-08,1145.91636860515,8223.93663143504,0.139339153493112,"heterogen"
0.791666666666667,0.996649390893947,5.45461519973967e-08,4.84677803925623e-08,1175.34825281264,8223.93663143504,0.142917960763463,"heterogen"
0.833333333333333,0.995378904059165,4.0130199537136e-08,3.66446491343546e-08,1203.11777797845,8223.93663143504,0.146294631378806,"heterogen"
0.875,0.994174982661038,3.29370456785949e-08,3.08896553545164e-08,1229.35928652425,8223.93663143504,0.149485500876207,"heterogen"
0.916666666666667,0.993032764260629,2.79124125179206e-08,2.68651368937181e-08,1254.19328292644,8223.93663143504,0.152505222150233,"heterogen"
0.958333333333333,0.991947826218299,2.24762998118179e-08,2.21871762943886e-08,1277.72816334252,8223.93663143504,0.155366975769068,"heterogen"
1,0.990916139722374,2.34013923425547e-08,2.36766750131085e-08,1300.06165631087,8223.93663143504,0.158082645158224,"heterogen"
0,1.0456413408194,0.0340000067912785,0.0150000033128429,0,8223.91827251668,0,"baseline"
0.0416666666666667,1.04159153362522,0.029672066422598,0.0137513026376472,111.233879066494,8223.91827251668,0.0135256547281391,"baseline"
0.0833333333333333,1.03789249504758,0.0258887923998762,0.0125889703724001,211.211106507347,8223.91827251668,0.0256825395764435,"baseline"
0.125,1.03450657420359,0.022585097208625,0.0115088703792291,301.424588776369,8223.91827251668,0.0366521868029371,"baseline"
0.166666666666667,1.03140032326654,0.0197004439745938,0.0105060486534513,383.139942336709,8223.91827251668,0.0465884909894005,"baseline"
0.208333333333333,1.02854412904977,0.0171799951489104,0.0095751419681439,457.431347597699,8223.91827251668,0.0556220687560062,"baseline"
0.25,1.02591182888674,0.0149750552846032,0.00871070329580328,525.212429852848,8223.91827251668,0.063864013776504,"baseline"
0.291666666666667,1.02348033418062,0.0130429249658413,0.00790738172174815,587.262396674016,8223.91827251668,0.0714090749948931,"baseline"
0.333333333333333,1.0212292755727,0.0113465200125756,0.0071600565893795,644.247927066372,8223.91827251668,0.0783383182709109,"baseline"
0.375,1.01914067710858,0.00985389016162023,0.00646394782915761,696.741386986369,8223.91827251668,0.084721341323976,"baseline"
0.416666666666667,1.01719866240601,0.00853756632639692,0.00581461251601609,745.235937486675,8223.91827251668,0.0906181108313249,"baseline"
0.458333333333333,1.0153891930522,0.00737403172317547,0.00520798823741592,790.158052166304,8223.91827251668,0.0960804845066267,"baseline"
0.5,1.01369983780465,0.00634314489572237,0.00464036309830447,831.877887638201,8223.91827251668,0.101153472112951,"baseline"
0.541666666666667,1.0121195702718,0.00542767460942981,0.00410837380098881,870.717888792212,8223.91827251668,0.105876281832961,"baseline"
0.583333333333333,1.01063859234558,0.00461286261810706,0.00360897688133252,906.959941135048,8223.91827251668,0.110283189968703,"baseline"
0.625,1.00924818056328,0.00388606413364154,0.00313943259859839,940.851332856552,8223.91827251668,0.11440426590823,"baseline"
0.666666666666667,1.00794055266442,0.00323639329637689,0.00269724936858726,972.609736224474,8223.91827251668,0.118265977845964,"baseline"
0.708333333333333,1.00670875179834,0.00265450459651993,0.00228019914416698,1002.42738167669,8223.91827251668,0.121891700337864,"baseline"
0.75,1.00554654607522,0.00213232955532886,0.00188626599926901,1030.47457279608,8223.91827251668,0.125302141710212,"baseline"
0.791666666666667,1.0044483414057,0.00166289463958223,0.00151363252335148,1056.90264772561,8223.91827251668,0.128515704157427,"baseline"
0.833333333333333,1.003409105821,0.0012401368200537,0.00116063910391642,1081.84648778247,8223.91827251668,0.131548788780875,"baseline"
0.875,1.00242430369709,0.000858810530153149,0.000825805245710142,1105.42664822945,8223.91827251668,0.134416054683283,"baseline"
0.916666666666667,1.00148983851671,0.00051435812195063,0.000507802063420892,1127.75117396652,8223.91827251668,0.137130639750558,"baseline"
0.958333333333333,1.00060200299041,0.000202904008958382,0.00020553141048621,1148.91715148668,8223.91827251668,0.139704349364246,"baseline"
1,0.9997574355227,7.93678887719603e-07,8.24347652294397e-07,1169.01204047352,8223.91827251668,0.142147818319184,"baseline"
0,1.04595818500583,0.0339999971183235,0.0150000176781228,0,8223.65191594701,0,"inf_los"
