"","rhoI","rI","beta1","beta2","hosp.noint","comm.noint"
"40",1.10526315789474,3,0.0621942163414776,0.00865964323360065,9.6914410235086e-09,1.04801004905427e-09
"41",1.21052631578947,1,0.11912710500233,0.0110487988820506,0.0340026111847025,0.0150003719089064
"42",1.21052631578947,1.10526315789474,0.0978900143157339,0.011127330583542,0.0340025374081278,0.0149989317007152
"43",1.21052631578947,1.21052631578947,0.0801528885187965,0.0111931562849583,0.0340002269413363,0.0150020312877204
"44",1.21052631578947,1.31578947368421,0.0651524971721452,0.0112486016339724,0.0339975963710206,0.0150000590885295
"45",1.21052631578947,1.42105263157895,0.0522406428951174,0.0112964450465401,0.0339975494641191,0.0150003891850482
"46",1.21052631578947,1.52631578947368,0.0410182909138632,0.0113380046705934,0.0340011556079368,0.0149994826791653
"47",1.21052631578947,1.63157894736842,0.0311030673429477,0.0113748422377671,0.0339983192435618,0.0150000193754523
"48",1.21052631578947,1.73684210526316,0.0223361870340665,0.011407328711584,0.0340008472055512,0.0149974180931644
"49",1.21052631578947,1.84210526315789,0.0144336133599723,0.0114367908191772,0.0339988825837287,0.0149985264818584
"50",1.21052631578947,1.94736842105263,0.00731004861003107,0.0114633803065362,0.0339997554736845,0.0149994354974441
"51",1.21052631578947,2.05263157894737,0.000838271314767637,0.0114875459122097,0.0339992447857022,0.0149994572584216
"52",1.21052631578947,2.15789473684211,5.13590372584447e-08,0.0114754655699094,0.0342064969945367,0.0145093465117759
"53",1.21052631578947,2.26315789473684,8.31494044473789e-09,0.0114592516548816,0.034425867573959,0.0139820716956472
"54",1.21052631578947,2.36842105263158,4.41437805610288e-06,0.0114441460220439,0.0346108940077494,0.0134871309893079
"55",1.21052631578947,2.47368421052632,1.20120218012934e-06,0.0114301784397107,0.0347683774379529,0.0130242143206972
"56",1.21052631578947,2.57894736842105,1.93190300699747e-07,0.0114169206286974,0.0348812730874934,0.0125819856261148
"57",1.21052631578947,2.68421052631579,4.39625137093625e-07,0.0114049974234633,0.035008129991384,0.0121788439679894
"58",1.21052631578947,2.78947368421053,1.39382123310789e-06,0.0113936381948622,0.0350958134917801,0.0117921783346217
"59",1.21052631578947,2.89473684210526,3.54585307241432e-07,0.0113833752977188,0.0351954139223628,0.0114374280523505
"60",1.21052631578947,3,0.047315125896148,0.00891250938133746,9.69631409334098e-09,1.42313376317335e-09
"61",1.31578947368421,1,0.108263103941654,0.0110890696135875,0.0339987569339932,0.0150021468306821
"62",1.31578947368421,1.10526315789474,0.0870359664876168,0.0111675191861132,0.0339977867923395,0.0149996740696145
"63",1.31578947368421,1.21052631578947,0.0693341535426753,0.0112330104825471,0.0339983935757561,0.0149987030500731
"64",1.31578947368421,1.31578947368421,0.0542896546055574,0.0112888409379909,0.0339985949341873,0.0150006945247205
"65",1.31578947368421,1.42105263157895,0.0413902890049916,0.0113364915346237,0.0339979129955677,0.0149962367141538
"66",1.31578947368421,1.52631578947368,0.0300764286446171,0.01137869827169,0.0340001355324566,0.0150011998381086
