"beta.int","decol.rate","hospital","community","cases.averted","assumption"
0.25,0.00273972602739726,5.4172658073396e-09,3.11089375880999e-09,1443.47524129892,"Homogeneous"
0.25,0.010958904109589,2.3019253409243e-09,1.40144513045498e-09,1657.47742353166,"Homogeneous"
0.25,0.0191780821917808,4.6109637275636e-09,2.96824295547387e-09,1841.95637446149,"Homogeneous"
0.25,0.0273972602739726,2.11612134020931e-09,1.43613525048231e-09,2002.45308015355,"Homogeneous"
0.25,0.0356164383561644,3.24719585498276e-09,2.31703125338909e-09,2143.23852932961,"Homogeneous"
0.25,0.0438356164383562,2.27008130463118e-09,1.6989874570907e-09,2267.64938659094,"Homogeneous"
0.25,0.052054794520548,1.07085647361543e-09,8.38780394080391e-10,2378.32488610149,"Homogeneous"
0.25,0.0602739726027397,2.01064335187309e-09,1.6449387157213e-09,2477.37657936389,"Homogeneous"
0.25,0.0684931506849315,2.01889957299791e-09,1.72197431572606e-09,2566.51169007145,"Homogeneous"
0.25,0.0767123287671233,1.50028672424915e-09,1.33179848408258e-09,2647.12396564361,"Homogeneous"
0.25,0.0849315068493151,1.49876282012016e-09,1.38256611599714e-09,2720.36144133414,"Homogeneous"
0.25,0.0931506849315069,1.24201349823444e-09,1.18358836948801e-09,2787.17759462793,"Homogeneous"
0.25,0.101369863013699,1.32387094114978e-09,1.31316631345457e-09,2848.37037632189,"Homogeneous"
0.25,0.10958904109589,1.33367669988792e-09,1.36915075884283e-09,2904.61232341522,"Homogeneous"
0.25,0.117808219178082,1.06432197394503e-09,1.12986052765091e-09,2956.47400813585,"Homogeneous"
0.25,0.126027397260274,3.38242082949576e-11,3.57598689503454e-11,3004.44246276147,"Homogeneous"
0.25,0.134246575342466,1.26357168857167e-09,1.4284431275577e-09,3048.9357898696,"Homogeneous"
0.25,0.142465753424658,3.5631766750543e-10,4.15142964457781e-10,3090.31495392521,"Homogeneous"
0.25,0.150684931506849,1.02990550589442e-09,1.23547400398022e-09,3128.89269621058,"Homogeneous"
0.25,0.158904109589041,7.43399080549792e-10,9.1742656680552e-10,3164.94187360568,"Homogeneous"
0.25,0.167123287671233,1.04733406549349e-09,1.32863083684305e-09,3198.70120093856,"Homogeneous"
0.25,0.175342465753425,1.02292141312768e-09,1.33290627277537e-09,3230.38033940252,"Homogeneous"
0.25,0.183561643835616,9.32219946055156e-10,1.24664536092019e-09,3260.16466991508,"Homogeneous"
0.25,0.191780821917808,8.1110098985657e-10,1.11278798912592e-09,3288.21797487475,"Homogeneous"
0.25,0.2,7.91622149301131e-10,1.1132038498788e-09,3314.68591350745,"Homogeneous"
